global_index,label,source_file,reconstruction_error
319,normal,window_typing_10000.csv,0.5333853363990784
320,normal,window_typing_10000.csv,0.5412294864654541
321,normal,window_typing_10000.csv,0.42030176520347595
322,normal,window_typing_10000.csv,0.4008409380912781
323,normal,window_typing_10000.csv,0.3907817602157593
324,normal,window_typing_10000.csv,0.3690323531627655
325,normal,window_typing_10000.csv,0.3336651623249054
326,normal,window_typing_10000.csv,0.3279664218425751
327,normal,window_typing_10000.csv,0.2907792329788208
328,normal,window_typing_10000.csv,0.33065879344940186
329,normal,window_typing_10000.csv,0.3483903408050537
330,normal,window_typing_10000.csv,0.35046419501304626
331,normal,window_typing_10000.csv,0.36628520488739014
332,normal,window_typing_10000.csv,0.38315925002098083
333,normal,window_typing_10000.csv,0.3947238624095917
334,normal,window_typing_10000.csv,0.40479281544685364
335,normal,window_typing_10000.csv,0.4098890423774719
336,normal,window_typing_10000.csv,0.41884538531303406
337,normal,window_typing_10000.csv,0.4152786433696747
338,normal,window_typing_10000.csv,0.4203859269618988
339,normal,window_typing_10000.csv,0.40197184681892395
340,normal,window_typing_10000.csv,0.38875612616539
341,normal,window_typing_10000.csv,0.36163175106048584
342,normal,window_typing_10000.csv,0.3556557893753052
343,normal,window_typing_10000.csv,0.3465211093425751
344,normal,window_typing_10000.csv,0.3417092263698578
345,normal,window_typing_10000.csv,0.34387490153312683
346,normal,window_typing_10000.csv,0.3489443361759186
347,normal,window_typing_10000.csv,0.3562805950641632
348,normal,window_typing_10000.csv,0.3595941662788391
349,normal,window_typing_10000.csv,0.36169466376304626
350,normal,window_typing_10000.csv,0.36296346783638
351,normal,window_typing_10000.csv,0.36393383145332336
352,normal,window_typing_10000.csv,0.36539462208747864
353,normal,window_typing_10000.csv,0.3647620379924774
354,normal,window_typing_10000.csv,0.3628605902194977
355,normal,window_typing_10000.csv,0.3771135210990906
356,normal,window_typing_10000.csv,0.37875765562057495
357,normal,window_typing_10000.csv,0.3827076852321625
358,normal,window_typing_10000.csv,0.3829977512359619
