global_index,group,source_file,true_label,reconstruction_error,classifier_attack_probability,prototype_attack_probability,distance_to_normal_prototype,distance_to_attack_prototype,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,tsne_x,tsne_y
12246,FeatureGuideHumanMimic_v4,window1.csv,1,1.1182241439819336,8.442418106824334e-07,0.00011204685870325193,1.228779911994934,3.0480761528015137,0.0,0.28261181712150574,0.28951701521873474,0.0,0.24076642096042633,0.0,0.0,0.0,0.0,0.0,0.0,0.2654350697994232,0.0,0.282565176486969,0.0,0.0,0.3212507963180542,0.0,0.19524042308330536,0.2955077886581421,0.26436591148376465,0.0,0.3286478817462921,0.0,0.0,0.0,0.26792681217193604,0.2752324938774109,0.0,0.0,0.27195751667022705,0.0,-26.441172,27.511911
12247,FeatureGuideHumanMimic_v4,window1.csv,1,1.1285971403121948,8.251986969298741e-07,0.00011002460814779624,1.2305258512496948,3.0534651279449463,0.0,0.28156521916389465,0.2851182818412781,0.0,0.24222715198993683,0.0,0.0,0.0,0.0,0.0,0.0,0.2640633285045624,0.0,0.28444498777389526,0.0,0.0,0.3184669017791748,0.0,0.19622449576854706,0.2975013554096222,0.2675039768218994,0.0,0.32799097895622253,0.0,0.0,0.0,0.2681874930858612,0.2726632058620453,0.0,0.0,0.2761842608451843,0.0,-26.189335,27.628412
12248,FeatureGuideHumanMimic_v4,window1.csv,1,1.148672103881836,8.219987535085238e-07,0.0001068887795554474,1.230483055114746,3.059206008911133,0.0,0.28090187907218933,0.28370845317840576,0.0,0.24344269931316376,0.0,0.0,0.0,0.0,0.0,0.0,0.2648780643939972,0.0,0.2857075333595276,0.0,0.0,0.31319311261177063,0.0,0.19564756751060486,0.2994432747364044,0.2704036235809326,0.0,0.3268214762210846,0.0,0.0,0.0,0.2678676247596741,0.27283036708831787,0.0,0.0,0.2782015800476074,0.0,-25.844389,27.642134
12249,FeatureGuideHumanMimic_v4,window1.csv,1,1.173556923866272,7.970413662405917e-07,9.903234604280442e-05,1.2270824909210205,3.071075439453125,0.0,0.28230050206184387,0.28856489062309265,0.0,0.24731411039829254,0.0,0.0,0.0,0.0,0.0,0.0,0.2698860168457031,0.0,0.28680527210235596,0.0,0.0,0.29514452815055847,0.0,0.19390209019184113,0.3028331696987152,0.26880204677581787,0.0,0.3274250328540802,0.0,0.0,0.0,0.26760604977607727,0.2743189334869385,0.0,0.0,0.27934733033180237,0.0,-18.61244,24.836124
12250,FeatureGuideHumanMimic_v4,window1.csv,1,1.1727967262268066,6.775114229640167e-07,7.721367001067847e-05,1.2152010202407837,3.1089723110198975,0.0,0.285687655210495,0.2958020865917206,0.0,0.25782135128974915,0.0,0.0,0.0,0.0,0.0,0.0,0.2778952121734619,0.0,0.2921280562877655,0.0,0.0,0.24185192584991455,0.0,0.185331329703331,0.31052809953689575,0.2667575776576996,0.0,0.33418336510658264,0.0,0.0,0.0,0.2673548460006714,0.2762477993965149,0.0,0.0,0.28626880049705505,0.0,-16.002613,20.200579
12251,FeatureGuideHumanMimic_v4,window1.csv,1,1.1812875270843506,6.992539738348569e-07,7.882976933615282e-05,1.2156383991241455,3.105266571044922,0.0,0.2864490747451782,0.29760223627090454,0.0,0.2579001486301422,0.0,0.0,0.0,0.0,0.0,0.0,0.2791481614112854,0.0,0.29202306270599365,0.0,0.0,0.2430190145969391,0.0,0.18769755959510803,0.3099604547023773,0.2634028494358063,0.0,0.3331603407859802,0.0,0.0,0.0,0.26431891322135925,0.27695131301879883,0.0,0.0,0.28698208928108215,0.0,-16.307959,20.065498
12252,FeatureGuideHumanMimic_v4,window1.csv,1,1.1872239112854004,7.183206776062434e-07,8.156987314578146e-05,1.2158408164978027,3.098634719848633,0.0,0.28776055574417114,0.29435616731643677,0.0,0.2554771602153778,0.0,0.0,0.0,0.0,0.0,0.0,0.2761169373989105,0.0,0.2932167649269104,0.0,0.0,0.25041937828063965,0.0,0.18940988183021545,0.31037455797195435,0.25748535990715027,0.0,0.3350139260292053,0.0,0.0,0.0,0.25828486680984497,0.27555063366889954,0.0,0.0,0.2949109375476837,0.0,-17.311089,20.405846
12253,FeatureGuideHumanMimic_v4,window1.csv,1,1.2180860042572021,7.076226893332205e-07,7.735428516753018e-05,1.2164229154586792,3.109830379486084,0.0,0.28746697306632996,0.29275816679000854,0.0,0.25975194573402405,0.0,0.0,0.0,0.0,0.0,0.0,0.2784160077571869,0.0,0.29586470127105713,0.0,0.0,0.23812513053417206,0.0,0.19060048460960388,0.3134379982948303,0.2564377188682556,0.0,0.3351655900478363,0.0,0.0,0.0,0.2573663890361786,0.2772812247276306,0.0,0.0,0.29434454441070557,0.0,-16.680138,19.448816
12254,FeatureGuideHumanMimic_v4,window1.csv,1,1.2309973239898682,7.379017574749014e-07,8.148208871716633e-05,1.2161321640014648,3.0991413593292236,0.0,0.2864399552345276,0.2894604504108429,0.0,0.2528366148471832,0.0,0.0,0.0,0.0,0.0,0.0,0.27526533603668213,0.0,0.2984567880630493,0.0,0.0,0.2544402778148651,0.0,0.18848846852779388,0.30920901894569397,0.2546238899230957,0.0,0.3381738066673279,0.0,0.0,0.0,0.25228574872016907,0.2766105532646179,0.0,0.0,0.30026084184646606,0.0,-17.901451,20.608728
12255,FeatureGuideHumanMimic_v4,window1.csv,1,1.2318114042282104,7.693435577493801e-07,8.113960939226672e-05,1.21956205368042,3.1034135818481445,0.0,0.2839549779891968,0.29165828227996826,0.0,0.2584376633167267,0.0,0.0,0.0,0.0,0.0,0.0,0.28033992648124695,0.0,0.3007587492465973,0.0,0.0,0.25601160526275635,0.0,0.1875334531068802,0.3088005781173706,0.25194835662841797,0.0,0.3347349464893341,0.0,0.0,0.0,0.25467073917388916,0.2831358015537262,0.0,0.0,0.28609713912010193,0.0,-17.932034,20.72341
12256,FeatureGuideHumanMimic_v4,window1.csv,1,1.218154788017273,7.707580493843125e-07,8.351825817953795e-05,1.2196944952011108,3.097766876220703,0.0,0.28374311327934265,0.2931240200996399,0.0,0.25749146938323975,0.0,0.0,0.0,0.0,0.0,0.0,0.2798827588558197,0.0,0.3000834882259369,0.0,0.0,0.26052892208099365,0.0,0.18955524265766144,0.3090009391307831,0.24693705141544342,0.0,0.3370220363140106,0.0,0.0,0.0,0.2490798681974411,0.2825172245502472,0.0,0.0,0.28840112686157227,0.0,-18.659615,20.691475
12257,FeatureGuideHumanMimic_v4,window1.csv,1,1.2126214504241943,7.439991804858437e-07,7.911939610494301e-05,1.2153210639953613,3.1042158603668213,0.0,0.2846232056617737,0.2992728650569916,0.0,0.26010292768478394,0.0,0.0,0.0,0.0,0.0,0.0,0.282988578081131,0.0,0.2995859980583191,0.0,0.0,0.24511836469173431,0.0,0.1887339949607849,0.31000038981437683,0.24272778630256653,0.0,0.3398562967777252,0.0,0.0,0.0,0.2470633089542389,0.28320181369781494,0.0,0.0,0.290639191865921,0.0,-18.173502,19.277983
