group,feature,normal_mean,group_mean,mean_diff,z_mean_diff,normal_std,group_std,std_ratio_to_normal,normal_iqr,group_iqr,iqr_ratio_to_normal,ks_statistic
HumanMimic,timing_entropy,3.309915043814167,2.8089222091649457,-0.5009928346492214,-1.7205132134355665,0.2911880192124916,0.4810249475013984,1.6519393510842737,0.3458328121043839,0.5369655941662064,1.5526739377295762,0.5411205432937182
HumanMimic,pause_duration,0.040395013380036364,0.19972338954607646,0.1593283761660401,0.5582941738705285,0.2853842716313017,0.26959109705009376,0.9446599685016569,0.0298349857330322,0.2207131385803223,7.397796015566946,0.7205915642997437
HumanMimic,current_key_category_id,1.8133905922301008,1.5414666666666668,-0.27192392556343403,-0.14553726694879815,1.8684144017841169,1.1945329531469469,0.6393297718141692,0.0,0.0,,0.05102864942241758
StrongHumanMimic,hold_time,0.11009717424016105,0.01800770071675737,-0.09208947352340369,-3.2237049613347035,0.028566346681203756,0.005915233658727298,0.20707000880233092,0.0373425483703613,0.008437156677246102,0.22593949918915163,0.9990012983121942
StrongHumanMimic,flight_time,0.011573146252702152,0.0491475008952955,0.03757435464259335,0.1288683360577237,0.2915716598200101,0.02843976833252351,0.09753954945442792,0.0750865936279296,0.008866548538208001,0.11808430919297892,0.7391340744212012
StrongHumanMimic,press_to_press_time,0.12167006235456986,0.06714665167083941,-0.05452341068373044,-0.18816874884739684,0.289758055031489,0.02977368542282867,0.1027536073832117,0.057595252990722684,0.016919136047363302,0.2937592105045289,0.58296511970336
StrongHumanMimic,release_to_release_time,0.12167012661019846,0.06715385079222971,-0.05451627581796875,-0.187659149141861,0.29050689011041586,0.029589131945753844,0.10185346011761583,0.08204197883605961,0.016589879989623996,0.20221208977387936,0.49099081450524573
StrongHumanMimic,overlap_ratio,0.23627840783293247,0.0,-0.23627840783293247,-0.8992366144216117,0.26275443419850797,0.0,0.0,0.398407355457103,0.0,0.0,0.6504903625287126
StrongHumanMimic,simultaneous_key_count,1.7040147807849795,1.0,-0.7040147807849795,-1.253522242652331,0.561629268975198,0.0,0.0,1.0,0.0,0.0,0.6505902326974933
StrongHumanMimic,modifier_count,0.020944771796664336,0.0,-0.020944771796664336,-0.14626276770701224,0.1431996134424317,0.0,0.0,0.0,0.0,,0.02094477179666432
StrongHumanMimic,shortcut_flag,0.020944771796664336,0.0,-0.020944771796664336,-0.14626276770701224,0.1431996134424317,0.0,0.0,0.0,0.0,,0.02094477179666432
StrongHumanMimic,correction_ratio,0.056583046863907624,0.03465755949633833,-0.021925487367569295,-0.2258432630724227,0.09708276027050805,0.03221569718961938,0.33183746630044997,0.0833333333333333,0.0588235294117647,0.7058823529411766,0.2949243931606859
StrongHumanMimic,keys_per_second,9.002955158294217,15.14780701754386,6.144851859249643,2.906954416678595,2.113845275314148,2.2176123360361233,1.0490892412674595,3.0,2.5,0.8333333333333334,0.8827964927645342
StrongHumanMimic,burst_density,9.002955158294217,15.14780701754386,6.144851859249643,2.906954416678595,2.113845275314148,2.2176123360361233,1.0490892412674595,3.0,2.5,0.8333333333333334,0.8827964927645342
StrongHumanMimic,timing_variance,0.12373413320001364,0.027966900686803717,-0.09576723251320993,-0.2712210115638292,0.35309665708061133,0.019647560364647182,0.055643575124988166,0.073934704422911,0.0144743241728671,0.1957717189220516,0.8389574322611374
