group,feature,count,mean,std,min,q25,median,q75,iqr,q90,q95,q99,max
normal,current_key_category_id,500650,1.8133905922301008,1.8684144017841169,1.0,1.0,1.0,1.0,0.0,5.0,7.0,10.0,10.0
normal,flight_time,500650,0.011573146252702152,0.2915716598200101,-0.3070697784423828,-0.0452516078948974,-0.0217111110687255,0.0298349857330322,0.0750865936279296,0.0833120346069336,0.217869758605957,0.5400664806365967,26.041894674301147
normal,hold_time,500650,0.11009717424016105,0.028566346681203756,0.0218598842620849,0.0899238586425781,0.1050868034362793,0.1272664070129394,0.0373425483703613,0.1498146057128906,0.1643440723419189,0.1875596046447754,0.4869494438171386
normal,keys_per_second,500650,9.002955158294217,2.113845275314148,0.5,7.5,9.0,10.5,3.0,11.5,12.0,13.0,14.0
normal,modifier_count,500650,0.020944771796664336,0.1431996134424317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
normal,overlap_ratio,500650,0.23627840783293247,0.26275443419850797,0.0,0.0,0.1810762194894865,0.398407355457103,0.398407355457103,0.5811815512870613,0.7407460465264347,1.0,2.0
normal,pause_duration,500650,0.040395013380036364,0.2853842716313017,0.0,0.0,0.0,0.0298349857330322,0.0298349857330322,0.0833120346069336,0.217869758605957,0.5400664806365967,26.041894674301147
normal,press_to_press_time,500650,0.12167006235456986,0.289758055031489,-0.1272482872009277,0.0695087909698486,0.0900719165802002,0.1271040439605713,0.057595252990722684,0.1958880424499511,0.3154730796813965,0.637861967086792,26.14712500572205
normal,release_to_release_time,500650,0.12167012661019846,0.29050689011041586,0.0,0.0597026348114013,0.0905499458312988,0.1417446136474609,0.08204197883605961,0.195218801498413,0.3153474330902099,0.631234884262085,26.16901397705078
normal,shortcut_flag,500650,0.020944771796664336,0.1431996134424317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
normal,simultaneous_key_count,500650,1.7040147807849795,0.561629268975198,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0
normal,timing_entropy,500650,3.309915043814167,0.2911880192124916,-0.0,3.155565013329719,3.327819531114783,3.5013978254341027,0.3458328121043839,3.640223928941852,3.725480556997868,3.85216872360328,4.088779347361361
normal,timing_variance,500650,0.12373413320001364,0.35309665708061133,0.0,0.0596044717150512,0.0908556094643999,0.1335391761379622,0.073934704422911,0.188792157216018,0.2354957838124659,0.4576687002834612,13.0474191904068
