tsne_1,tsne_2,label
-25.106249,-5.4216175,attack
-25.641256,-5.8422375,attack
-26.273634,-5.37833,attack
-26.702082,-5.501516,attack
-27.118727,-5.8204303,attack
-27.528,-6.1243744,attack
-27.645687,-6.6623397,attack
-27.907726,-7.023486,attack
-28.361652,-7.450432,attack
-28.585148,-7.9545856,attack
-29.09179,-8.311831,attack
-29.671137,-8.487638,attack
-30.140669,-8.871939,attack
-30.096243,-9.295541,attack
-29.050848,-9.328916,attack
-31.12451,-8.632028,attack
-29.99803,-10.082795,attack
-29.642765,-10.945632,attack
-28.707941,-12.075107,attack
-30.131992,-12.649995,attack
-30.345089,-15.496593,attack
-31.561108,-12.703382,attack
-32.501827,-12.906921,attack
-33.19372,-15.794314,attack
-35.402706,-15.451805,attack
-35.14403,-12.937337,attack
-36.870228,-12.595211,attack
-38.513554,-13.238666,attack
-40.204975,-12.994656,attack
-39.731197,-10.89584,attack
